25,711,12001,0,1,0,0,0,0,1,1,1,1,0,0,2,1,2557272
25,2,2100,0,35,0000,0,0,1,0,1,1,1,1,2,1,1,15011
7005,0,1,15,1,00.0,2,0,0,1,1,1,0,1,1,0,6,250
25,25,101,0,0,140,1,0,0,1,0,0,0,0,0,1,0,25101
45,21100,1,3,14,1000000.0,0,0,0,0,1,1,1,0,1,1,1,25
25,01,0,1,1,150,0,0,2,0,1,1,1,0,0,1,1,2517
225,000,1,341,1,410000.0,0,1,0,0,1,0,1,0,2,0,1,222
25,410,6,0,7,0000,0,0,1,0,1,0,2,0,0,0,0,25117
25205,1,7,0,0,9,0,0,2,0,1,0,0,1,1,0,1,25000
225,25,0,1,0,5060.0,0,0,1,0,0,1,0,1,1,1,1,251
25322,0,108,6,0,59,16,0,0,0,1,0,1,1,1,1,1,2502
25025,2000,2,3130,1,430000.0,0,0,0,1,0,0,1,1,1,0,1,25000
10,1,1,3141,0,1,1,0,1,1,0,1,1,1,1,1,1,2501
725,7,7,08,18300,0,0,0,0,1,0,1,1,0,1,1,250,2517
25,25,1,21000,1,500.0,0,0,1,0,0,0,0,1,0,1,25000,2
25,100,1,73,0,5300.0,0,1,0,0,2,0,1,0,1,0,1,2512
21,5200,231100,0,0,13,30,0,1,1,0,1,1,1,0,1,0,2512
2,25,0,1,11,3,0,0,0,0,1,1,0,1,0,1,1,2500
25,0,130,1,1,0,0,13,0,0,0,1,1,1,1,1,0,25012
5,25,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,2501
55822510,1441,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,2501
25,2500220,0,18,2,925000.0,0,0,1,0,1,1,0,1,1,0,1,250013
22212,00,1,0,0,20000.0,0,0,0,0,0,1,1,1,1,0,1,250102
25,1,2200,0,0,0,1,1,0,0,0,1,0,1,1,1,1,2501
5,270,0,1,7,1300.0,0,0,0,0,1,1,1,1,0,1,1,251272
2525200,0,1,141,0,0,0,1,0,0,0,0,1,1,1,1,2,25122
255,201,0,33,30,130,0,0,0,0,0,0,0,0,0,0,0,25012
25,210,0,1,7,0,0,1,1,0,1,0,0,1,1,0,1,2500
1295371000,0,0,3,2,1300.0,1,0,0,0,0,1,0,1,1,0,1,250
22,200,1,1,18,13,1,1,0,1,1,1,0,1,1,1,1,25017
121000,1,4,0,0,0,0,1,0,1,1,1,1,1,1,1,1,250725
259,270,1,40,1,0,0,1,0,1,0,0,1,0,1,1,2,2502
