2719,25,24,26,0,1,70,0,1,0,0,1,1,1,0,1,0,0,25007
9,25,25000,1,61,1,0,1,1,0,0,1,1,0,0,1,2,25,61
21,25,2,254,0,0,0,0,0,0,0,1,0,1,0,1,1,0,25017
23425664,25,29,10,1431,24,200,1,0,0,0,0,0,1,0,1,1,1,25017
43569,25,21,10,15,99,25000.0,0,0,0,0,0,0,0,1,0,2,150,45
7,725,25,1,81129,1,300000.0,1,0,0,0,0,0,1,0,1,0,1,2501
6625,250,25,8,2210,20,0,1600,0,1,1,0,0,0,1,1,0,1,2501
700482440,25,25,0,10,30,1,1,1,0,1,1,0,1,0,1,1,25,25
412186,23,1,27000,1,25,27500.0,0,1,0,0,0,1,0,0,0,0,1,2501
25900,25,1,30,950,1640,0,0,0,1,1,1,0,0,0,0,1,1,2521298
23,25,8,25,1530,0,1,10,1500,0,0,0,0,1,0,0,1,1,2507
795124,25,2200,30,100,0,0,1,0,1,0,1,0,1,1,1,0,2,15011
27722,26,1,7200,1,1,1,150010,0,0,0,0,0,0,0,1,0,4,25017
55,550,25,20,48,28700,0,25,1,2200,0,0,0,0,1,0,0,1,2500
646,255,25,230019,0,25,26,00,20,0,0,0,0,0,1,1,1,1,250047
69,25,25,240,68,65,94,10,130,0,0,1,0,1,0,0,1,1,2501
7795790,26,26,24000,0,1,30,1500,0,0,0,1,1,1,0,1,2,1,25007
279221,25,25000,0,420,11,10,0,1,0,0,1,0,0,0,0,0,0,250277
818525,22,20,216,65,1,10,0,0,1,0,1,0,1,0,0,0,1,252227137
1755882,25,1,2500,10,3145,5,900,0,0,0,1,0,0,0,1,1,1,25019
859,31,75,580,2510,28,27,4,0,0,0,0,0,0,1,1,1,1,25016
242789,25,20000,0,0,25,81,940,0,0,0,0,0,0,1,0,0,1,2501
7,255,220,25,000,2,8300000,0,0,1,1,1,0,0,0,0,0,1,2521
2752273,203,7,08,11,0,1,0,1,0,1,1,0,0,1,0,1,0,25121
78867512,5662500,1,10,4,65,18.0,1,1,0,0,0,1,0,1,1,0,1,2501
731728,270,25,20,16,890,0,0,7,0,0,1,1,0,1,1,1,1,2500
27127325,25,84,2000,0,0,1,1,1,0,1,0,1,0,1,1,1,0,20110
02505,10,590,0,4,140,0,1,1,0,0,0,1,0,0,0,1,1,250119
2722700,2,0,2538,9,0,0,1,0,0,1,0,2,0,0,1,1,1,2520
721,65,25,250,27,2800,0,1,9,0,1,0,0,1,0,1,1,0,25271
718622555510,25,200,2,280000,0,1,0,0,0,0,0,1,0,1,1,1,0,2511
265,258,25,230,0,1,2,4530,0,0,0,0,0,1,1,1,1,1,250127
7165475,365,2800,40,0,130,1,0,1,0,1,0,0,1,0,0,1,2,25017
78,4752,55,25,1,10,23,900,7,0,0,0,1,1,0,0,1,1,2500
7321,25,13,567400,13,27,34,251100,0,0,0,0,0,1,0,0,0,1,250017
173787065,25,23,0000,0,28,0,1,0,1,0,0,1,0,1,0,0,1,250
777198,25,45001,250,4,29000,1,1,0,0,0,1,0,1,0,0,1,1,25217
312,95,2,2,20,30,1,0,1,0,1,1,0,1,0,1,1,1,25017
728,265,25,20,2,3,16400,0,0,1,1,1,1,0,0,0,1,1,25114
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,250
8855,25,4,210,2,31,130.1,0,0,0,1,0,0,0,0,1,0,1,250119
5210,25,20,15,0,2,8,14,0,3,0,0,0,1,1,0,1,1,2500
629142,25,250,0,1,271,4700.10,0,0,0,1,1,0,0,0,1,0,1,250077
7877255465,25,255000,1100,4496440,1,1500.0,0,0,0,1,0,1,0,0,1,2,1,25027
8,7,2550080,1,250,23,90,0,0,0,0,0,0,0,0,1,1,1,2501
522,2,2030,45,1,15,400.0,0,0,4,0,0,1,1,0,0,1,1,25017
60,25,25000,0,4,1,860,1,0,0,0,1,0,0,1,0,1,1,2500
942450265,25,750090,7,45,89,25,100,1,0,0,1,0,0,1,1,1,1,2510717
2712228,25,110,23,10,900,24.0,0,0,0,0,1,0,0,1,1,0,1,2501
779972,2500,0,10,1,0,1,0,0,0,0,0,0,1,0,0,0,2,2500
22022,210,68,2,9010,0,1,6,1,0,0,1,0,1,1,0,1,1,250027
0,18,2500,73,0,20,2500,0,0,1,0,1,1,0,1,1,0,0,2501
07543168,25,210,1,20,1,0,0,0,1,0,1,1,1,2,0,1,1,25116
78122325,52,222000,92,10,0,1,285,0300,0,0,0,0,0,1,0,1,1,250126
32,25,0,253,280000,0,7,15,0,0,0,0,1,1,1,1,0,0,250090
17657,7828,25,28,250000,1,4,2514400,0,0,1,0,1,0,0,1,1,1,25017
2852,25,00,1,16,9,34000.0,0,0,1,0,1,0,0,0,0,0,1,2502
250900,25,2,470,0,2200,0,0,0,1,0,0,1,0,0,1,1,0,25517
7077911484,25,000,1,76,36,490.0,1,0,0,0,0,0,1,1,0,1,1,25017
4417223,25,25000,0,16,110,0,0,0,0,0,0,1,1,0,0,0,1,2507
70587,55,1,25,18,10,360,0,0,0,1,0,0,0,1,0,0,1,2501
050,20,0,20,1,1,1,0,0,0,0,0,0,1,0,1,1,1,2502177
72,25,25,15,10,1,0,1,0,0,1,1,0,0,0,0,1,20,2509
239,250,17,25,0,28800,0,0,0,0,1,1,0,1,1,1,1,2,250
18557,55566,25,25000,0,56,930.100.0,1,0,0,0,1,1,0,0,1,0,1,250077325
75325,2,40,0,2,1,38,0,0,1,0,1,0,1,0,1,0,1,2500
77286255,0,1,0,250,25006,0,40,0,1,1,1,0,1,0,1,1,1,2501
2,25,250,20,16,2361,10,0,0,0,1,1,1,1,1,0,0,1,2501
9,25,25,0,230,14,1,1,1,0,0,0,1,0,1,1,0,1,2500
0066765,55,845,1,3,0,230,4360,1,0,1,0,0,0,0,2,0,1,2500
0,85,24,650000,44,3465000,0,0,0,0,0,0,1,0,1,1,0,1,25000
27,88,252,25,10,1,0,443,1605,0,0,0,0,0,1,1,1,1,25037
65798,25,268,2800,1,50,4,17400,1,0,0,0,0,1,0,1,0,1,25018
69,258450,1,22010,620,3240,305.10.0,0,1,0,0,1,1,0,1,0,1,1,25017
6027,2248825,10,0,890,0,25,10,0,0,0,0,1,0,0,0,1,2,252
72538,255,11,10,250,1,25,0,0,0,1,1,1,0,1,0,0,1,250131
9,25,269,41,25011,25,450,0,144000,0,0,0,1,1,1,1,1,1,25017
703110869,65,24000,3,3090143,0,1,0,0,0,0,0,0,1,0,1,1,1,251110
25476655,255669,0,2,22000,0,2,1,3,0,0,0,1,0,0,1,1,2,1511
68,25,2,00,8,0,1,0,1,1,0,0,0,0,1,0,0,1,25077
523,25,25001,00,7,83090,0,0,0,1,0,0,0,1,0,1,1,1,25027
3,28090,25,590,70,1,300,0,0,0,0,1,1,0,1,1,1,0,2501
3941,25,25,400,354,920,0,0,0,0,0,0,1,0,0,2,1,1,252021
110,257,2000,1,2,8121,91300.0,0,0,1,1,0,1,1,1,0,1,1,2501
7732900,25,15,1,1,3,19800.0,0,0,1,1,0,0,0,1,1,1,0,250
72773,25,25,9350,1,11,0,0,1,1,1,0,1,1,1,1,1,0,2500
5735220,55,20,0,23,0,1,30,1,0,0,0,1,1,0,1,0,1,25027
135,25,85,780,170,9,1,0,0,0,0,1,0,1,0,1,1,1,25027
7775650,25,15,05,94,95,00.0,0,0,0,0,0,1,1,1,1,1,1,25113
721062,25,20,200,0,8,5223,2500,0,1,0,1,0,0,1,0,0,1,2501
627,552,2100,0,4090,3894,0,0,0,0,1,0,0,0,0,0,0,1,25127
2222,282,25,2000,1,0,20,0,0,0,0,0,0,1,0,1,0,1,2501
216556,2,25,10,0,1,,0,0,1,1,1,0,0,1,0,1,1,2500
7,18456855,22,0,220,2,120,0,0,0,1,0,1,1,0,1,0,1,2502
56066822,45,23,1,28,300,0,1,0,1,45,10,0,0,0,1,1,1,2507
790688,25,200,1,33,41,0,1,1,0,1,1,1,0,0,1,0,1,250
285,25,3,2500,0,7,200.0,1,0,0,1,0,0,1,0,0,0,2,25017
219,16,0,25,1,0,1,0,0,0,0,1,1,0,1,1,1,1,25017
